STATION,NAME,DATE,AWND,PRCP,WSFM
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/1/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/2/1960,,0.08,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/3/1960,,0.68,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/4/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/5/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/6/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/7/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/8/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/9/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/10/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/11/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/12/1960,,0.1,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/13/1960,,0.58,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/14/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/15/1960,,0.38,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/16/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/17/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/18/1960,,0.24,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/19/1960,,0.12,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/20/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/21/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/22/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/23/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/24/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/25/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/26/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/27/1960,,0.15,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/28/1960,,0.57,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/29/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/30/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/31/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/1/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/2/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/3/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/4/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/5/1960,,0.13,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/6/1960,,0.63,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/7/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/8/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/9/1960,,0.04,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/10/1960,,0.1,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/11/1960,,0.66,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/12/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/13/1960,,0.06,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/14/1960,,0.18,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/15/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/16/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/17/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/18/1960,,1.67,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/19/1960,,0.06,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/20/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/21/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/22/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/23/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/24/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/25/1960,,0.93,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/26/1960,,0.93,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/27/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/28/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/29/1960,,0.09,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/1/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/2/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/3/1960,,0.59,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/4/1960,,0.6,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/5/1960,,0.03,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/6/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/7/1960,,0.03,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/8/1960,,0.06,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/9/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/10/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/11/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/12/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/13/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/14/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/15/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/16/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/17/1960,,0.44,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/18/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/19/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/20/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/21/1960,,0,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/22/1960,,0.4,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/23/1960,,0,
